"sampleid","age","tooth_type","species","cc","published","publication","notes","collection_date"
"KEL252",7,"lower right canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-06
"KEL254",1,"lower left canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-06
"KEL255",2,"lower left canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-08
"KEL256",4,"lower left canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-08
"KEL257",4,"lower left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-01-08
"KEL258",16,"lower left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-01-08
"KEL260",10,"lower left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-01-08
"KEL261",8,"lower left canine","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-01-08
"KEL262",1,"lower left canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-08
"KEL263",6,"lower right canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-08
"KEL264",4,"lower left canine","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-01-08
"KEL270B",0.5,"multiple","Eidolon_dupreanum","A","no",NA,"age inferred from multiple teeth",2019-03-14
"KEL273B",1,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-03-14
"KEL275B",2,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-03-14
"KEL276B",2,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-03-14
"KEL277B",3,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-03-14
"KEL278B",6,"lower left premolar","Eidolon_dupreanum","A","no",NA,"age from 1 tooth",2019-03-14
"KEL279B",2,"lower left premolar","Eidolon_dupreanum","B","no",NA,"age from 1 tooth",2019-03-14
"KEL28",5,"multiple","Eidolon_dupreanum","B","yes","Brook et al. 2019","age inferred from multiple teeth",2014-10-08
